"","X","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP","resid"
"3481",3481,3481,218441,-0.504850218615905,-0.598434657545069,1.20752036374,0.701531026207835,-0.463154380621425,0.328754295286442,-0.0567979561325827,-0.653677509443115,-0.222989920734884,1.69920252001642,0.198805932772287,-0.204027316487328,0.441677647117434
"2366",2366,2366,188854,-0.109219816615897,0.0951910794943015,0.034744903497406,2.46801011495877,-2.20442073325086,0.51327226525339,0.13057347158197,-0.675364572380641,-0.415133910944424,1.79783122593059,0.758156298392093,0.895304269475606,0.440880209860363
"3681",3681,3681,224527,0.0687916128554223,-0.299241172526791,1.05212303045095,0.358561996828052,-0.629239983799659,-0.487009361409539,0.130386100154255,-0.334567869076667,0.291681481612096,0.948868571182908,-0.806027045466149,-0.70732648149941,0.440754853900752
"3283",3283,3283,213613,-0.455007018363935,-0.641561646376532,1.32252996678517,0.118730790845374,1.16084692077265,-0.121551332250625,1.51468620810937,-0.569142223298883,0.380891191352239,1.46352193599058,0.123293633413613,-0.724641819745239,0.43795857049691
"3897",3897,3897,231712,-0.486604047095094,-0.506340566811215,1.32699872983299,0.75355514898065,-0.634504945283695,0.831706324226821,1.69343855014905,-1.63313608660116,0.662244891301922,2.18532121943348,1.09616373361663,0.227701783775329,0.434599336463743
"4157",4157,4157,240268,-0.815035134469679,-0.633026096503639,1.51932335976461,-0.140999642097905,0.696573044453096,0.596075343188696,1.11343029565865,-1.15823366758147,0.675969462031174,2.36673443587008,1.79694983454316,-0.0939787223027295,0.432967027870483
"4717",4717,4717,385619,-0.0931987879634783,-0.0530579446138541,0.017549638545391,2.32169226966023,0.801393641271636,0.243395566797577,1.81691632101294,0.727655621740912,0.518136898644767,1.55679085270537,0.798109895936365,0.308891480883547,0.432963558326618
"3492",3492,3492,218724,0.0389746984189762,-0.565190936987482,1.05577205109458,-0.179107312028992,-0.26500037567679,-0.195154068193119,0.505316327011074,-0.619597839112718,0.236783198695085,1.29780046503834,0.268724728474763,-0.588812610839073,0.431581464783825
"4131",4131,4131,239309,-0.580505076141215,-0.186482066311194,0.909971551607432,0.928226141190377,-0.481342429384459,0.260262860451065,2.66008774572843,-0.344304917742495,-0.147504781723994,1.70894260662839,-0.333775522492856,-0.139768172330587,0.431337267314383
"2935",2935,2935,204176,-0.604981647693522,-0.636170772772599,1.4135602329717,0.0179340529730451,0.227512839511689,0.902753409615757,1.3953306086552,-1.43441177519404,1.55434198870335,2.23321860777785,2.46297630560617,0.180757977864416,0.429570009044385
"1525",1525,1525,160621,3.32996100076999,-0.694122664014878,-0.195565927150924,-0.472393304160737,-0.741240073550974,-0.0453929457545715,1.58270203636975,0.420938588767336,0.0171900670270397,0.831811763932993,-0.237487352411161,-0.781205258014945,0.428554453446777
